strategy,scratchpad_kb,dram_latency,bandwidth,compute_ops,matrix_m,matrix_n,matrix_k,total_cycles,compute_cycles,dram_stall_cycles,dram_bytes,compute_utilization,arithmetic_intensity,effective_ops_per_cycle,energy_pj,ops_per_pj,a_reuse_factor,b_reuse_factor,c_reuse_factor,tuned,tune_objective,tile_m,tile_n,tile_k,tune_candidates_considered,tune_candidates_evaluated,tune_candidates_rejected
double_buffer,16,100,32,256,256,256,256,211808,131072,80736,3932160,0.618825,8.53333,158.419,1.0212e+09,0.032858,1,1,20,1,cycles,32,52,13,372,256,116
double_buffer,16,100,64,256,256,256,256,151288,131072,20216,3932160,0.866374,8.53333,221.792,1.0212e+09,0.032858,1,1,20,1,cycles,32,52,13,372,256,116
double_buffer,16,200,8,256,256,256,256,629496,131280,498216,3145728,0.208548,10.6667,53.3036,8.62926e+08,0.0388845,1,1,20,1,cycles,52,52,13,385,256,129
double_buffer,16,200,16,256,256,256,256,418368,131072,287296,3932160,0.313294,8.53333,80.2032,1.0212e+09,0.032858,1,1,20,1,cycles,32,52,13,385,256,129
double_buffer,16,200,32,256,256,256,256,295808,131072,164736,3932160,0.443098,8.53333,113.433,1.0212e+09,0.032858,1,1,20,1,cycles,32,52,13,385,256,129
double_buffer,16,200,64,256,256,256,256,234528,131072,103456,3932160,0.558876,8.53333,143.072,1.0212e+09,0.032858,1,1,20,1,cycles,32,52,13,371,256,115
double_buffer,32,50,8,256,256,256,256,349099,131254,217845,2621440,0.375979,12.8,96.1172,7.57413e+08,0.0443014,1,1,20,1,cycles,68,68,13,366,256,110
double_buffer,32,50,16,256,256,256,256,222502,131242,91260,3145728,0.589846,10.6667,150.805,8.62926e+08,0.0388845,1,1,15,1,cycles,45,72,18,358,256,102
double_buffer,32,50,32,256,256,256,256,154528,131242,23286,3145728,0.849309,10.6667,217.141,8.62926e+08,0.0388845,1,1,15,1,cycles,45,72,18,360,256,104
double_buffer,32,50,64,256,256,256,256,138077,131352,6725,4194304,0.951295,8,243.012,1.07395e+09,0.0312439,1,1,10,1,cycles,27,68,27,369,256,113
double_buffer,32,100,8,256,256,256,256,377368,131296,246072,2621440,0.347926,12.8,88.917,7.57413e+08,0.0443014,1,1,29,1,cycles,72,72,9,367,256,111
double_buffer,32,100,16,256,256,256,256,240502,131242,109260,3145728,0.5457,10.6667,139.518,8.62926e+08,0.0388845,1,1,15,1,cycles,45,72,18,360,256,104
double_buffer,32,100,32,256,256,256,256,158672,131321,27351,3145728,0.827626,10.6667,211.47,8.62926e+08,0.0388845,1,1,15,1,cycles,45,68,18,369,256,113
double_buffer,32,100,64,256,256,256,256,144770,131242,13528,3145728,0.906555,10.6667,231.778,8.62926e+08,0.0388845,1,1,15,1,cycles,45,72,18,369,256,113
double_buffer,32,200,8,256,256,256,256,425368,131296,294072,2621440,0.308664,12.8,78.8833,7.57413e+08,0.0443014,1,1,29,1,cycles,72,72,9,369,256,113
double_buffer,32,200,16,256,256,256,256,261717,131296,130421,2621440,0.501672,12.8,128.209,7.57413e+08,0.0443014,1,1,29,1,cycles,72,72,9,387,256,131
double_buffer,32,200,32,256,256,256,256,171381,131167,40214,3145728,0.765353,10.6667,195.789,8.62926e+08,0.0388845,1,1,12,1,cycles,45,68,22,369,256,113
double_buffer,32,200,64,256,256,256,256,151846,131167,20679,3145728,0.863816,10.6667,220.977,8.62926e+08,0.0388845,1,1,12,1,cycles,45,68,22,369,256,113
double_buffer,64,50,8,256,256,256,256,307878,131153,176725,2359296,0.42599,14.2222,108.986,7.04656e+08,0.0476182,1,1,20,1,cycles,65,91,13,359,256,103
double_buffer,64,50,16,256,256,256,256,167641,131153,36488,2359296,0.782344,14.2222,200.156,7.04656e+08,0.0476182,1,1,20,1,cycles,65,91,13,359,256,103
double_buffer,64,50,32,256,256,256,256,134588,131104,3484,3145728,0.974114,10.6667,249.312,8.62926e+08,0.0388845,1,1,5,1,cycles,52,52,52,363,256,107
double_buffer,64,50,64,256,256,256,256,131688,131184,504,4456448,0.996173,7.52941,254.803,1.12671e+09,0.0297809,1,1,5,1,cycles,26,52,52,364,256,108
double_buffer,64,100,8,256,256,256,256,316679,131140,185539,2359296,0.41411,14.2222,105.957,7.04656e+08,0.0476182,1,1,10,1,cycles,104,65,26,359,256,103
double_buffer,64,100,16,256,256,256,256,174429,131153,43276,2359296,0.751899,14.2222,192.367,7.04656e+08,0.0476182,1,1,20,1,cycles,65,91,13,359,256,103
double_buffer,64,100,32,256,256,256,256,138247,131104,7143,3145728,0.948332,10.6667,242.714,8.62926e+08,0.0388845,1,1,5,1,cycles,52,52,52,364,256,108
double_buffer,64,100,64,256,256,256,256,131884,131156,728,3932160,0.99448,8.53333,254.424,1.0212e+09,0.032858,1,1,4,1,cycles,33,52,65,374,256,118
double_buffer,64,200,8,256,256,256,256,329879,131140,198739,2359296,0.39754,14.2222,101.717,7.04656e+08,0.0476182,1,1,10,1,cycles,104,65,26,359,256,103
double_buffer,64,200,16,256,256,256,256,183755,131140,52615,2359296,0.713668,14.2222,182.604,7.04656e+08,0.0476182,1,1,10,1,cycles,91,65,26,360,256,104
double_buffer,64,200,32,256,256,256,256,145647,131104,14543,3145728,0.900149,10.6667,230.382,8.62926e+08,0.0388845,1,1,5,1,cycles,52,52,52,373,256,117
double_buffer,64,200,64,256,256,256,256,132155,131104,1051,3145728,0.992047,10.6667,253.902,8.62926e+08,0.0388845,1,1,5,1,cycles,52,52,52,374,256,118
double_buffer,128,50,8,256,256,256,256,240748,131117,109631,1835008,0.544623,18.2857,139.376,5.99143e+08,0.056004,1,1,15,1,cycles,91,164,18,358,256,102
double_buffer,128,50,16,256,256,256,256,165898,131072,34826,1835008,0.790076,18.2857,202.259,5.99143e+08,0.056004,1,1,15,1,cycles,91,128,18,358,256,102
double_buffer,128,50,32,256,256,256,256,134300,131072,3228,2359296,0.975964,14.2222,249.847,7.04656e+08,0.0476182,1,1,5,1,cycles,55,128,54,358,256,102
double_buffer,128,50,64,256,256,256,256,131761,131072,689,3670016,0.994771,9.14286,254.661,9.68439e+08,0.034648,1,1,4,1,cycles,46,46,64,358,256,102
double_buffer,128,100,8,256,256,256,256,245248,131117,114131,1835008,0.53463,18.2857,136.818,5.99143e+08,0.056004,1,1,15,1,cycles,91,164,18,358,256,102
double_buffer,128,100,16,256,256,256,256,166748,131072,35676,1835008,0.786048,18.2857,201.228,5.99143e+08,0.056004,1,1,15,1,cycles,91,128,18,358,256,102
double_buffer,128,100,32,256,256,256,256,134662,131072,3590,2359296,0.973341,14.2222,249.175,7.04656e+08,0.0476182,1,1,5,1,cycles,55,128,54,358,256,102
double_buffer,128,100,64,256,256,256,256,132100,131108,992,3407872,0.992491,9.84615,254.008,9.15682e+08,0.0366442,1,1,3,1,cycles,46,55,91,358,256,102
double_buffer,128,200,8,256,256,256,256,254248,131117,123131,1835008,0.515705,18.2857,131.975,5.99143e+08,0.056004,1,1,15,1,cycles,91,164,18,358,256,102
double_buffer,128,200,16,256,256,256,256,168448,131072,37376,1835008,0.778116,18.2857,199.198,5.99143e+08,0.056004,1,1,15,1,cycles,91,128,18,358,256,102
double_buffer,128,200,32,256,256,256,256,134032,131072,2960,2359296,0.977916,14.2222,250.346,7.04656e+08,0.0476182,1,1,4,1,cycles,64,91,64,358,256,102
double_buffer,128,200,64,256,256,256,256,132386,131072,1314,3145728,0.990074,10.6667,253.459,8.62926e+08,0.0388845,1,1,3,1,cycles,46,64,91,367,256,111
